,IDfg,Season,Name,PA,O-Swing%,Z-Swing%,Swing%,Zone%,AVG,OBP,SLG,IDrs
0,1109,2004,Barry Bonds,617,0.125,0.653,0.3429999999999999,0.413,0.362,0.609,0.812,bondb001
6,639,2004,Adrian Beltre,657,0.2189999999999999,0.769,0.508,0.526,0.334,0.388,0.629,belta001
7,970,2004,Scott Rolen,593,0.158,0.7170000000000001,0.442,0.508,0.314,0.409,0.598,roles001
5,1152,2004,J.D. Drew,645,0.131,0.682,0.405,0.496,0.305,0.436,0.569,drewj001
3,1153,2004,Jim Edmonds,612,0.155,0.72,0.437,0.499,0.301,0.418,0.643,edmoj001
2,1177,2004,Albert Pujols,692,0.173,0.693,0.437,0.507,0.331,0.415,0.657,pujoa001
37,1101,2004,Ichiro Suzuki,762,0.215,0.723,0.498,0.557,0.372,0.414,0.455,suzui001
1,432,2004,Todd Helton,683,0.181,0.703,0.427,0.47,0.347,0.469,0.62,heltt001
32,1274,2004,Alex Rodriguez,698,0.18,0.698,0.444,0.51,0.286,0.375,0.512,rodra001
28,589,2004,Carlos Beltran,708,0.207,0.665,0.417,0.457,0.267,0.367,0.548,beltc001
4,548,2004,Lance Berkman,687,0.1689999999999999,0.7,0.401,0.436,0.316,0.45,0.566,berkl001
8,157,2004,Melvin Mora,636,0.148,0.637,0.401,0.518,0.34,0.419,0.562,moram002
35,941,2004,Miguel Tejada,725,0.208,0.6709999999999999,0.447,0.516,0.311,0.36,0.534,tejam001
12,778,2004,Vladimir Guerrero,680,0.306,0.9,0.604,0.501,0.337,0.391,0.598,guerv001
23,261,2004,Moises Alou,675,0.2,0.8170000000000001,0.512,0.505,0.293,0.361,0.557,aloum001
24,254,2004,Aaron Rowand,534,0.238,0.779,0.534,0.547,0.31,0.361,0.544,rowaa001
30,1383,2004,Mark Loretta,707,0.177,0.675,0.439,0.526,0.335,0.391,0.495,lorem001
11,945,2004,Bobby Abreu,713,0.119,0.579,0.355,0.513,0.301,0.428,0.544,abreb001
31,243,2004,Carlos Lee,658,0.181,0.76,0.49,0.534,0.305,0.366,0.525,lee-c001
20,1079,2004,Carlos Guillen,583,0.237,0.6779999999999999,0.4429999999999999,0.4679999999999999,0.318,0.379,0.542,guilc001
14,319,2004,Adam Dunn,681,0.157,0.654,0.397,0.484,0.266,0.388,0.569,dunna001
25,906,2004,Eric Chavez,577,0.152,0.64,0.387,0.481,0.276,0.397,0.501,chave001
69,96,2004,Andruw Jones,646,0.188,0.733,0.4679999999999999,0.514,0.261,0.345,0.488,jonea002
107,1201,2004,Carl Crawford,672,0.239,0.731,0.521,0.573,0.296,0.331,0.45,crawc002
41,804,2004,Brad Wilkerson,688,0.166,0.622,0.384,0.479,0.255,0.374,0.498,wilkb002
50,990,2004,Brian Giles,711,0.119,0.669,0.3929999999999999,0.498,0.284,0.374,0.475,gileb002
83,971,2004,Jimmy Rollins,725,0.196,0.6920000000000001,0.4629999999999999,0.539,0.289,0.348,0.455,rollj001
115,300,2004,Corey Patterson,687,0.247,0.745,0.516,0.54,0.266,0.32,0.452,pattc001
9,1573,2004,Travis Hafner,576,0.1689999999999999,0.7290000000000001,0.46,0.521,0.311,0.41,0.583,hafnt001
29,1275,2004,Ivan Rodriguez,575,0.314,0.784,0.546,0.493,0.334,0.383,0.51,rodri001
65,826,2004,Derek Jeter,721,0.168,0.7829999999999999,0.503,0.545,0.292,0.352,0.471,jeted001
51,1213,2004,Aubrey Huff,667,0.195,0.6759999999999999,0.442,0.514,0.297,0.36,0.493,huffa001
66,993,2004,Jason Kendall,658,0.147,0.551,0.358,0.523,0.319,0.399,0.39,kendj001
