,IDfg,Season,Name,PA,OBP,O-Swing%,Z-Swing%,Swing%,Zone%,IDrs
1,1177,2006,Albert Pujols,634,0.431,0.192,0.6509999999999999,0.417,0.491,pujoa001
25,2197,2006,Grady Sizemore,751,0.375,0.184,0.652,0.435,0.5379999999999999,sizeg001
11,589,2006,Carlos Beltran,617,0.388,0.162,0.593,0.373,0.49,beltc001
22,1679,2006,Chase Utley,739,0.379,0.222,0.64,0.437,0.513,utlec001
8,1744,2006,Miguel Cabrera,676,0.43,0.223,0.672,0.4479999999999999,0.5,cabrm001
5,548,2006,Lance Berkman,646,0.42,0.1969999999999999,0.736,0.465,0.497,berkl001
17,826,2006,Derek Jeter,715,0.417,0.181,0.746,0.473,0.517,jeted001
0,1573,2006,Travis Hafner,564,0.439,0.192,0.638,0.3939999999999999,0.4539999999999999,hafnt001
39,96,2006,Andruw Jones,669,0.363,0.214,0.6859999999999999,0.437,0.472,jonea002
2,2154,2006,Ryan Howard,704,0.425,0.253,0.7020000000000001,0.46,0.461,howar001
14,1857,2006,Joe Mauer,608,0.429,0.191,0.555,0.376,0.508,mauej001
19,1079,2006,Carlos Guillen,622,0.4,0.208,0.741,0.478,0.506,guilc001
31,1326,2006,Vernon Wells,677,0.357,0.273,0.723,0.5,0.504,wellv001
62,1736,2006,Jose Reyes,703,0.354,0.2789999999999999,0.638,0.474,0.5429999999999999,reyej001
99,1101,2006,Ichiro Suzuki,752,0.37,0.25,0.623,0.45,0.536,suzui001
43,970,2006,Scott Rolen,594,0.369,0.205,0.685,0.455,0.521,roles001
10,1790,2006,Garrett Atkins,695,0.409,0.143,0.617,0.395,0.531,atkig001
36,847,2006,Alfonso Soriano,728,0.351,0.325,0.71,0.506,0.47,soria001
4,745,2006,David Ortiz,686,0.413,0.183,0.705,0.429,0.472,ortid001
16,1717,2006,Jason Bay,689,0.396,0.176,0.648,0.418,0.513,bay-j001
42,1605,2006,Bill Hall,608,0.345,0.207,0.665,0.4479999999999999,0.525,hallb001
13,828,2006,Nick Johnson,628,0.428,0.136,0.5820000000000001,0.357,0.496,johnn001
44,941,2006,Miguel Tejada,709,0.379,0.2769999999999999,0.705,0.495,0.509,tejam001
6,409,2006,Jim Thome,610,0.416,0.147,0.652,0.381,0.465,thomj002
26,3787,2006,David Wright,661,0.381,0.188,0.6659999999999999,0.4429999999999999,0.534,wrigd002
67,1201,2006,Carl Crawford,653,0.348,0.309,0.727,0.5329999999999999,0.536,crawc002
