Year	Name	IDrs	At-Bats	AVG	OBP	SLG	Mean Sim OBP	Max Sim OBP	Min Sim OBP	Sim OBP Std. Dev	Mean Change
2017	Aaron Judge	judga001	678	0.284	0.422	0.627	0.5311415929203539	0.5870206489675516	0.46607669616519176	0.01613050254170657	0.10914159292035391
2017	Jose Altuve	altuj001	662	0.346	0.41	0.547	0.482441087613293	0.5422960725075529	0.42900302114803623	0.017336384791137596	0.07244108761329304
2017	Kris Bryant	bryak001	665	0.295	0.409	0.537	0.4954481203007519	0.544360902255639	0.44661654135338347	0.016329413956653976	0.08644812030075194
2017	Giancarlo Stanton	stanm004	692	0.281	0.376	0.631	0.5213757225433525	0.5708092485549133	0.4667630057803468	0.015848920237854197	0.14537572254335251
2017	Jose Ramirez	ramij003	645	0.318	0.374	0.583	0.43252093023255817	0.48527131782945737	0.3829457364341085	0.01681946293880822	0.058520930232558166
2017	Mike Trout	troum001	507	0.306	0.442	0.629	0.4498520710059171	0.5009861932938856	0.3905325443786982	0.01774735184728319	0.007852071005917116
2017	Tommy Pham	phamt001	530	0.306	0.411	0.52	0.4016603773584906	0.4547169811320755	0.35094339622641507	0.017457389226797435	-0.009339622641509393
2017	Brian Dozier	dozib001	705	0.271	0.359	0.498	0.38959716312056736	0.4397163120567376	0.33617021276595743	0.015326449218983495	0.030597163120567372
2017	Joey Votto	vottj001	707	0.32	0.454	0.578	0.3995898161244696	0.44271570014144274	0.355021216407355	0.014417016279238333	-0.05441018387553043
2017	Nolan Arenado	arenn001	680	0.309	0.373	0.586	0.45740588235294116	0.5102941176470588	0.40294117647058825	0.016649168365537405	0.08440588235294116
2017	Francisco Lindor	lindf001	723	0.273	0.337	0.505	0.43414661134163207	0.48409405255878285	0.3789764868603043	0.016223603044575853	0.09714661134163205
2017	Justin Turner	turnj001	543	0.322	0.415	0.53	0.4502173112338858	0.5046040515653776	0.3885819521178637	0.018054372220251656	0.03521731123388583
2017	Anthony Rendon	renda001	605	0.301	0.403	0.533	0.3906925619834711	0.4446280991735537	0.32231404958677684	0.01644107054625694	-0.012307438016528949
2017	Marcell Ozuna	ozunm001	679	0.312	0.376	0.548	0.48280854197349043	0.5287187039764359	0.422680412371134	0.016866617573243693	0.10680854197349043
2017	Paul Goldschmidt	goldp001	665	0.297	0.404	0.563	0.4297157894736843	0.48120300751879697	0.37142857142857144	0.016042349452252646	0.025715789473684247
2017	Corey Seager	seagc001	613	0.295	0.375	0.479	0.4692561174551387	0.5513866231647635	0.4061990212071778	0.017315148488848346	0.09425611745513868
2017	Mookie Betts	bettm001	712	0.264	0.344	0.459	0.4149073033707865	0.46348314606741575	0.36657303370786515	0.015803477459652906	0.07090730337078655
2017	Charlie Blackmon	blacc001	725	0.331	0.399	0.601	0.40933379310344825	0.46482758620689657	0.36137931034482756	0.01575563646034397	0.01033379310344823
2017	Buster Posey	poseb001	568	0.32	0.4	0.462	0.4398221830985915	0.5017605633802817	0.3767605633802817	0.01768285162349397	0.03982218309859148
2017	Andrelton Simmons	simma001	647	0.278	0.331	0.421	0.36671561051004636	0.4188562596599691	0.3168469860896445	0.016770561699387912	0.03571561051004635
2017	George Springer	sprig001	629	0.283	0.367	0.522	0.4237456279809221	0.48330683624801274	0.3751987281399046	0.017484582369259684	0.056745627980922086
2017	Avisail Garcia	garca003	561	0.33	0.38	0.506	0.4616648841354724	0.5276292335115864	0.40641711229946526	0.0194626923024174	0.0816648841354724
2017	Travis Shaw	shawt001	606	0.273	0.349	0.513	0.46837458745874583	0.523102310231023	0.40594059405940597	0.01741789535001851	0.11937458745874585
2017	Chris Taylor	taylc001	568	0.288	0.354	0.496	0.3651742957746479	0.4242957746478873	0.31338028169014087	0.01757524614259688	0.011174295774647902
2017	Lorenzo Cain	cainl001	645	0.3	0.363	0.44	0.3932372093023256	0.4449612403100775	0.34108527131782945	0.016935476107969586	0.030237209302325596
2017	Freddie Freeman	freef001	514	0.307	0.403	0.586	0.5548190661478599	0.6108949416342413	0.4785992217898833	0.019689840278825768	0.1518190661478599
2017	Marwin Gonzalez	gonzm002	515	0.303	0.377	0.53	0.46160388349514564	0.516504854368932	0.4077669902912621	0.018304386669746552	0.08460388349514564
2017	Jonathan Schoop	schoj001	675	0.293	0.338	0.503	0.4951422222222222	0.5659259259259259	0.44	0.01795302585847086	0.15714222222222218
2017	Jose Abreu	abrej003	675	0.304	0.354	0.552	0.44422518518518517	0.5051851851851852	0.38814814814814813	0.01783872793050315	0.09022518518518519
2017	Justin Upton	uptoj001	635	0.273	0.361	0.54	0.4230803149606299	0.48031496062992124	0.3653543307086614	0.01642576730699894	0.062080314960629934
2017	Alex Bregman	brega001	626	0.284	0.352	0.475	0.3848338658146965	0.43929712460063897	0.3354632587859425	0.016653294783401915	0.032833865814696495
2017	Elvis Andrus	andre001	689	0.297	0.337	0.471	0.4157285921625544	0.46879535558780844	0.36574746008708275	0.01682463015510229	0.0787285921625544
2017	J.T. Realmuto	realj001	579	0.278	0.332	0.451	0.3702158894645941	0.41968911917098445	0.3229706390328152	0.017355919719879494	0.03821588946459409
2017	Byron Buxton	buxtb001	511	0.253	0.314	0.413	0.368812133072407	0.436399217221135	0.2857142857142857	0.019229850473029615	0.05481213307240701
2017	Zack Cozart	cozaz001	507	0.297	0.385	0.548	0.38484220907297834	0.4536489151873767	0.3234714003944773	0.018357653884846933	-0.00015779092702167263
2017	Anthony Rizzo	rizza001	691	0.273	0.392	0.507	0.4654746743849493	0.5296671490593343	0.4081041968162084	0.01619422394453629	0.07347467438494931
2017	Gary Sanchez	sancg002	525	0.278	0.345	0.531	0.46504761904761904	0.5238095238095238	0.4076190476190476	0.019192309970286422	0.12004761904761907
2017	Steven Souza Jr.	souzs001	617	0.239	0.351	0.459	0.4671507293354944	0.5283630470016207	0.413290113452188	0.016927075548500838	0.11615072933549442
2017	Brett Gardner	gardb001	682	0.264	0.35	0.428	0.38301466275659823	0.4340175953079179	0.3313782991202346	0.015982011089623733	0.033014662756598256
2017	Jed Lowrie	lowrj001	645	0.277	0.36	0.448	0.3927953488372093	0.44651162790697674	0.32248062015503876	0.016453039411703965	0.032795348837209304
2017	Cody Bellinger	bellc002	548	0.267	0.352	0.581	0.49012956204379565	0.551094890510949	0.42883211678832117	0.019124013462112257	0.13812956204379567
2017	Eugenio Suarez	suare001	632	0.26	0.367	0.461	0.4305253164556962	0.4778481012658228	0.379746835443038	0.016535586011469365	0.0635253164556962
2017	Nelson Cruz	cruzn002	645	0.288	0.375	0.549	0.4960635658914729	0.5441860465116279	0.44031007751937984	0.01721550120759436	0.12106356589147288
2017	Eric Hosmer	hosme001	671	0.318	0.385	0.498	0.4557928464977645	0.5230998509687034	0.4083457526080477	0.016766451393710573	0.07079284649776452
2017	Andrew McCutchen	mccua001	650	0.279	0.363	0.486	0.4031815384615384	0.4584615384615385	0.3553846153846154	0.015863000133479584	0.040181538461538435
2017	Kyle Seager	seagk001	650	0.249	0.323	0.45	0.3978092307692308	0.4461538461538462	0.3446153846153846	0.01670915025401013	0.0748092307692308
2017	Daniel Murphy	murpd006	593	0.322	0.384	0.543	0.44880775716694765	0.5059021922428331	0.3844856661045531	0.017500629268877733	0.06480775716694764
2017	Josh Reddick	reddj001	540	0.314	0.363	0.484	0.438337037037037	0.5074074074074074	0.37407407407407406	0.019223163374425638	0.07533703703703704
2017	Ender Inciarte	incie001	718	0.304	0.35	0.409	0.4009025069637883	0.4596100278551532	0.34401114206128136	0.01651222465582002	0.05090250696378834
2017	Christian Yelich	yelic001	695	0.282	0.369	0.439	0.43111366906474824	0.4848920863309353	0.3669064748201439	0.01622187982593796	0.062113669064748245
2017	Ryan Zimmerman	zimmr001	576	0.303	0.358	0.573	0.460765625	0.5173611111111112	0.3923611111111111	0.01840282360119095	0.10276562500000003
2017	Domingo Santana	santd002	607	0.278	0.371	0.505	0.41377265238879735	0.4827018121911038	0.3624382207578254	0.01802747162032937	0.04277265238879735
2017	Justin Smoak	smoaj001	637	0.27	0.355	0.529	0.46932496075353214	0.5164835164835165	0.4065934065934066	0.01688354151894528	0.11432496075353216
2017	Jean Segura	seguj002	566	0.3	0.349	0.427	0.3782879858657244	0.4363957597173145	0.3303886925795053	0.017428591086982467	0.029287985865724397
2017	DJ LeMahieu	lemad001	682	0.31	0.374	0.409	0.3339134897360704	0.3812316715542522	0.2932551319648094	0.015360054380696231	-0.04008651026392962
2017	Robinson Cano	canor001	648	0.28	0.338	0.453	0.4488364197530864	0.49537037037037035	0.39814814814814814	0.017450705454409788	0.11083641975308639
2017	Whit Merrifield	merrw001	630	0.288	0.324	0.46	0.3761555555555556	0.4380952380952381	0.33015873015873015	0.017431441932354838	0.052155555555555566
2017	Matt Carpenter	carpm002	622	0.241	0.384	0.451	0.3790546623794212	0.43086816720257237	0.3327974276527331	0.01568716861929466	-0.004945337620578805
2017	Carlos Santana	santc002	667	0.259	0.363	0.455	0.4296746626686657	0.47976011994003	0.3793103448275862	0.016091682137719818	0.06667466266866573
2017	Todd Frazier	frazt001	576	0.213	0.344	0.428	0.46210937500000004	0.5190972222222222	0.4027777777777778	0.017749382051355688	0.11810937500000007
2017	Xander Bogaerts	bogax001	635	0.273	0.343	0.403	0.4158692913385827	0.47086614173228347	0.36850393700787404	0.01653688335149843	0.07286929133858266
2017	Tim Beckham	beckt001	575	0.278	0.328	0.454	0.41283304347826083	0.47304347826086957	0.35130434782608694	0.018604778198039965	0.08483304347826082
2017	Logan Morrison	morrl001	601	0.246	0.353	0.516	0.47000000000000003	0.5341098169717138	0.41264559068219636	0.01735528638096347	0.11700000000000005
2017	Khris Davis	davik003	652	0.247	0.336	0.528	0.4580168711656442	0.5184049079754601	0.40337423312883436	0.016386802163388774	0.12201687116564419
2017	Javier Baez	baezj001	508	0.273	0.317	0.48	0.5313996062992127	0.5885826771653543	0.47244094488188976	0.02020820399144451	0.21439960629921267
2017	Joey Gallo	gallj002	532	0.209	0.333	0.537	0.6017631578947368	0.6710526315789473	0.5488721804511278	0.01968060180646394	0.26876315789473676
2017	Jake Lamb	lambj001	635	0.248	0.357	0.487	0.43168503937007874	0.49606299212598426	0.3795275590551181	0.016829614666866947	0.07468503937007875
2017	Cesar Hernandez	hernc005	577	0.294	0.373	0.421	0.36368457538994803	0.43154246100519933	0.31022530329289427	0.017294751114321785	-0.00931542461005197
